Name,Description,ID-LB,ARS,Eligibility Requirements,Legal Basis
Eingliederungszuschuss bei der Agentur für Arbeit beantragen,"Wenn Sie in Ihrem Unternehmen Menschen einstellen, die zu Beginn der Beschäftigung noch nicht die volle Arbeitsleistung erbringen, können Sie Zuschüsse zu den Lohnkosten beantragen.",B100019.LB.102730319,000000000000,"Sie wollen eine schwer in den Arbeitsmarkt zu vermittelnde Person beschäftigen. Bei der Arbeitnehmerin oder dem Arbeitnehmer ist anfänglich eine geringere Leistung als üblich zu erwarten. Der finanzielle Ausgleich durch den Eingliederungszuschuss ist notwendig, um die Arbeitnehmerin oder den Arbeitnehmer dauerhaft beruflich einzugliedern.",§§ 88 bis 92 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__88.html
Mit Diagnosemaßnahmen für Menschen mit Behinderungen die berufliche Eignung prüfen,"Wenn Sie eine Behinderung haben, können Sie unterstützende Leistungen zur Teilhabe am Arbeitsleben erhalten. Vorab muss jedoch unter Umständen ihre berufliche Eignung festgestellt werden oder eine Arbeitserprobung erfolgen.",B100019.LB.102758156,000000000000,"Sie haben eine Behinderung und Ihr zuständiger Rehabilitationsträger ist die Bundesagentur für Arbeit. Ihre Aussichten am Arbeitsleben teilzuhaben oder wieder teilzuhaben sind wegen der Art oder Schwere Ihrer Behinderung nicht nur vorübergehend wesentlich verringert.  Oder: Ihnen droht eine Behinderung mit den gleichen beruflichen Folgen.   Die vorhandenen Erkenntnisse reichen noch nicht aus, um zu beraten und zu entscheiden, welche Förderung geeignet ist, um Ihre Teilhabe am Arbeitsleben zu ermöglichen. Sie benötigen Unterstützung bei der beruflichen Orientierung beziehungsweise ist es notwendig, Ihr individuelle Leistungspotenzial zu untersuchen und festzustellen.",§ 112 Absatz 2 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__112.html || § 49 Absatz 4 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__49.html || § 65 Absatz 3 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__65.html || § 139 Absatz 1 Satz 1 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__139.html
Darlehen in bestimmten akuten Notsituationen beantragen,"Wenn Sie Bürgergeld beziehen, können Sie auf Antrag in akuten Notsituationen ein Darlehen vom Jobcenter erhalten, wenn Sie einen eigentlich aus dem Regelbedarf zu deckendem Betrag nicht selbst aufbringen und Sie die Zahlung auch nicht aufschieben können.",B100019.LB.102716301,000000000000,"Damit Sie das Darlehen vom Jobcenter bekommen können, müssen Sie nachweisen, dass:  Sie einen akuten, einmaligen Bedarf haben, der seiner Art nach zu den alltäglichen Bedürfnissen gehört (Regelbedarf), Sie diesen Bedarf nicht durch die dafür vorgesehene Leistung (Bürgergeld) ausgleichen können und Sie kein Vermögen haben, Sie keine andere Möglichkeit haben, den Bedarf zu decken (zum Beispiel über Gebrauchtwarenlager oder Kleiderkammer) und, der Bedarf unabweisbar ist. Dies trifft zu,  wenn Sie ihn nicht aufschieben können und Sie den Bedarf nicht mit den nächsten Leistungen zur Deckung des Regelbedarfs ausgleichen können.","§ 24 Absatz 1 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__24.html || § 37 Absatz 1 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__37.html || § 42a Absätze 1, 2, 4 und 6 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__42.html"
Verletztengeld von der gesetzlichen Unfallversicherung erhalten,"Wenn Sie wegen eines Arbeitsunfalls oder einer Berufskrankheit arbeitsunfähig sind, erhalten Sie Verletztengeld.",B100019.LB.582429,000000000000,"Sie erhalten Verletztengeld aus der gesetzlichen Unfallversicherung, wenn Sie aufgrund eines Versicherungsfalls arbeitsunfähig sind. Als Versicherungsfälle gelten Arbeits- und Wegeunfälle sowie Berufskrankheiten.",§ 45 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__45.html || § 46 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__46.html || § 47 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__47.html || § 47a Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__47a.html || § 48 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__48.html || § 52 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__52.html || § 257 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_5/__257.html
Witwen- und Witwerrente für Hinterbliebene in der gesetzlichen Unfallversicherung erhalten,"Als Witwe, Witwer oder Teil einer Lebenspartnerschaft mit der verstorbenen Person können Sie von der gesetzlichen Unfallversicherung eine Rente erhalten.",B100019.LB.582441,000000000000,"Sie haben unter folgenden Voraussetzungen einen Anspruch auf die Witwen- und Witwerrente für Hinterbliebene:  Tod der (Ehe-)Partnerin oder des (Ehe-)Partners infolge eines Versicherungsfalles:  Arbeitsunfall, Wegeunfall oder Berufskrankheit   Sie haben schon davor in einer rechtsgültigen Ehe oder Lebenspartnerschaft nach dem Lebenspartnerschaftsgesetz gelebt.  Sie haben in der Regel keinen Anspruch, wenn  Sie die Ehe oder Lebenspartnerschaft erst nach dem Versicherungsfall geschlossen haben und der Tod innerhalb des ersten Jahres dieser Ehe oder Lebenspartnerschaft eingetreten ist.",§ 65 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__65.html
"Zuschuss des Jobcenters zur Praktikumsvergütung für junge Menschen beantragen, die im Rahmen einer Einstiegsqualifizierung auf eine betriebliche Berufsausbildung vorbereitet werden sollen","Wenn Sie junge Menschen über ein bezahltes Praktikum an eine Berufsausbildung in Ihrem Betrieb heranführen möchten, können Sie einen Zuschuss zur Praktikumsvergütung beantragen.",B100019.LB.102703394,000000000000,"Das Praktikum muss:  zwischen 6 und 12 Monate dauern. vergütet und sozialversichert sein.   Die Praktikantin oder der Praktikant muss zum förderfähigen Personenkreis gehören. Dies muss durch das Jobcenter geprüft werden. Die Praktikantin oder der Praktikant darf vorher noch nicht in Ihrem Unternehmen beschäftigt gewesen sein. Die Einstiegsqualifizierung darf nicht im Betrieb der Ehegatten, Lebenspartnerin oder Lebenspartner oder Eltern stattfinden.  Bei Berufsschulpflicht muss die Praktikantin oder der Praktikant am Berufsschulunterricht teilnehmen und in der entsprechenden Fachklasse angemeldet sein.",§ 16 Absatz 1 Nummer 3 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16.html || § 54a Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__54a.html
Übergangsgeld aus der gesetzlichen Unfallversicherung bei beruflicher Reha erhalten,"Wenn Sie infolge eines Arbeits- oder Wegeunfalles oder einer anerkannten Berufskrankheit an qualifizierten Maßnahmen zur Teilhabe am Arbeitsleben (einer beruflichen Reha), teilnehmen und kein Arbeitsentgelt beziehen, erhalten Sie Übergangsgeld.",B100019.LB.582422,000000000000,Bei Ihnen liegt ein Arbeits oder Wegeunfall oder eine anerkannte Berufskrankheit vor. Sie nehmen an einer qualifizierten Maßnahme zur Teilhabe am Arbeitsleben teil (berufliche Reha).,§ 49 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__49.html || § 50 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__50.html || § 52 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__52.html || § 66 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__66.html
Saison-Kurzarbeitergeld beantragen,"Wenn Ihr Betrieb dem Baugewerbe oder einem gleichgestellten Betrieb angehört und Sie in der sogenannten Schlecht-Wetter-Zeit Arbeitsausfälle haben, können Sie den Verdienstausfall Ihrer Beschäftigten durch Saison-Kurzarbeitergeld teilweise ausgleichen.",B100019.LB.100372563,000000000000,"Das Saison-Kurzarbeitergeld kann beantragt werden bei vorübergehendem und nicht vermeidbarem Arbeitsausfall  aus wirtschaftlichen Gründen oder aus witterungsbedingten Gründen oder in Folge eines unabwendbaren Ereignisses.  Betriebliche Voraussetzungen:  Ihr Betrieb gehört dem Baugewerbe, Gerüstbauerhandwerk, Dachdeckerhandwerk oder dem Garten- und Landschaftsbau an. Ihr Betrieb oder die Betriebsabteilung beschäftigt mindestens 1 Arbeitnehmerin oder Arbeitnehmer.  Persönliche Voraussetzungen:  Sie haben sozialversicherungspflichtig Beschäftigte, die nicht gekündigt sind und mit denen auch kein Aufhebungsvertrag geschlossen wurde",§ 101 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__101.html
Förderung für Maßnahmen zur Aktivierung und beruflichen Eingliederung vom Jobcenter bekommen,"Wenn Sie Leistungen der Grundsicherung beziehen, können Sie durch Maßnahmen unterstützt werden, die Ihnen den beruflichen (Wieder-)Einstieg erleichtern.",B100019.LB.102730340,000000000000,Sie erhalten Leistungen der Grundsicherung. Die Notwendigkeit der Unterstützungsleistung wurde im Gespräch mit Ihrer Integrationsfachkraft festgestellt. Die Teilnahme wurde vor Maßnahmebeginn durch das Jobcenter genehmigt.,§ 16 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16.html || § 45 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__45.html
Freie Förderung SGB II beantragen,"Wenn Sie über die sonstigen gesetzlich geregelten Förderleistungen zur Eingliederung in Arbeit hinaus noch weitergehende, arbeitsmarktbezogene Förderbedarfe haben, können Sie im Einzelfall Leistungen der sogenannten Freien Förderung SGB II beantragen.",B100019.LB.102713893,000000000000,"Sie können Leistungen der Freien Förderung SGB II erhalten, wenn  Sie hierfür einen Antrag stellen Sie erwerbsfähige Leistungsberechtige oder Leistungsberechtigter im Sinne des SGB II sind die sonstigen gesetzlichen Förderleistungen zur Eingliederung in Arbeit (SGB III oder SGB II) alleine nicht ausreichen, um die gleichen Inhalte in der gleichen Weise zu fördern. die Freie Förderung SGB II die sonstigen gesetzlichen Förderleistungen zur Eingliederung in Arbeit nicht umgeht oder aufstockt. für die Förderung kein anderer Sozialleistungsträger (zum Beispiel Ihre Kommune oder Kranken oder Rentenversicherung) zuständig ist. Das ist zum Beispiel der Fall bei  kommunalen Eingliederungsleistungen (zum Beispiel Kinderbetreuung, Schuldnerberatung) Sprachförderungen des Bundesamts für Migration und Flüchtlinge Leistungen der Kinder- und Jugendhilfe Leistungen der Kranken- oder Rentenversicherung",§ 16f Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16f.html
Ausbildungsgeld beantragen,"Als Mensch mit Behinderungen können Sie zur Sicherung des Lebensunterhaltes Ausbildungsgeld erhalten, wenn Sie an bestimmten Bildungsmaßnahmen teilnehmen.",B100019.LB.574711,000000000000,"Sie haben eine Behinderung und Ihr zuständiger Rehabilitationsträger ist die Bundesagentur für Arbeit. Sie werden an einer der folgenden Maßnahmen teilnehmen:  (erste) berufliche Ausbildung, berufsvorbereitende Bildungsmaßnahme einschließlich einer Grundausbildung, individuelle betriebliche Qualifizierung im Rahmen der Unterstützten Beschäftigung, Eingangsverfahren oder Berufsbildungsbereich in einer Werkstatt für behinderte Menschen oder bei einem anderen Leistungsanbieter.   Sie haben keinen Anspruch auf Übergangsgeld.",§§ 122 bis 126 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/index.html
Arbeitslosenbeihilfe für frühere Soldaten auf Zeit beantragen,"Wenn Sie als früherer Soldat beziehungsweise frühere Soldatin auf Zeit nach Beendigung Ihres Wehrdienstes arbeitslos werden, können Sie Arbeitslosenbeihilfe beantragen.",B100019.LB.103356019,000000000000,"Sie haben Anspruch auf Arbeitslosenbeihilfe, wenn Sie mindestens 2 Jahre in einem Dienstverhältnis gestanden haben.  Weitere Voraussetzungen sind, dass  Sie arbeitslos sind und sich mit einem elektronischen Identitätsnachweis elektronisch im Fachportal der Bundesagentur für Arbeit oder persönlich bei der zuständigen Agentur für Arbeit arbeitslos gemeldet haben.   Arbeitslosigkeit liegt vor, wenn Sie nicht in einem Beschäftigungsverhältnis stehen oder nur eine Erwerbstätigkeit in einem Umfang von weniger als 15 Stunden wöchentlich ausüben. Darüber hinaus müssen Sie sich bemühen, die eigene Beschäftigungslosigkeit zu beenden und den Vermittlungsbemühungen der Agentur für Arbeit zur Verfügung stehen, das bedeutet in der Lage und bereit sein, eine versicherungspflichtige Beschäftigung unter arbeitsmarktüblichen Bedingungen aufzunehmen.  Die Arbeitslosmeldung muss elektronisch im Fachportal der Bundesagentur für Arbeit oder persönlich bei der zuständigen Agentur für Arbeit erfolgen. Mit der Arbeitslosmeldung gilt das Arbeitslosengeld als beantragt.",§ 86a Soldatenversorgungsgesetz (SVG)<>https://www.gesetze-im-internet.de/svg/__86a.html || § 88a Soldatenversorgungsgesetz (SVG)<>https://www.gesetze-im-internet.de/svg/__88a.html || §§ 136 bis 161 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__136.html
Gleichstellung behinderter Menschen mit schwerbehinderten Menschen bewilligen,Als Mensch mit Behinderungen können Sie unter bestimmten Voraussetzungen schwerbehinderten Menschen gleichgestellt werden.,B100019.LB.102821007,000000000000,"Sie sind ein Mensch mit Behinderungen und haben einen Grad der Behinderung von weniger als 50, aber wenigstens 30 Sie wohnen rechtmäßig in Deutschland oder Sie halten sich rechtmäßig in Deutschland auf oder Sie sind rechtmäßig auf einem Arbeitsplatz in Deutschland beschäftigt. Sie können wegen Ihrer Behinderung einen geeigneten Arbeitsplatz nicht finden oder Ihr Arbeitsplatz ist wegen Ihrer Behinderung gefährdet. Anhaltspunkte für eine behinderungsbedingte Gefährdung des Arbeitsplatzes können zum Beispiel sein:  Wiederholte/häufige behinderungsbedingte Fehlzeiten Dauernde verminderte Belastbarkeit Behinderungsbedingte eingeschränkte Mobilität Dauerhaft notwendige Unterstützung durch Kollegen Erkennbare Reaktionen des Arbeitgebers auf die behinderungsbedingten Einschränkungen (zum Beispiel Abmahnungen).   Für behinderte Jugendliche und junge Erwachsene gibt es während der Zeit ihrer Berufsausbildung oder einer beruflichen Orientierung eine Sonderregelung: Sie müssen Ihre Gleichstellung nicht beantragen, denn sie werden bei Vorliegen der Voraussetzungen kraft Gesetz automatisch gleichgestellt. Diese Gleichstellung gilt aber nur für Leistungen des Integrationsamtes im Rahmen der beruflichen Orientierung und der Berufsausbildung (Prämien und Zuschüsse zu den Kosten der Berufsausbildung).","§ 2 Absatz 3 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__2.html || § 151 Absatz 2, 3 und 4 Sozialgesetzbuch Neuntes Buch (SGB IX)<>https://www.gesetze-im-internet.de/sgb_9_2018/__151.html"
Arbeitslosengeld beantragen,"Wenn Sie Ihre Arbeit oder Ihren Ausbildungsplatz verlieren, können Sie Arbeitslosengeld beantragen, damit Sie finanziell abgesichert sind.",B100019.LB.576842,000000000000,"Sie haben Anspruch auf Arbeitslosengeld, wenn   Sie arbeitslos sind, das heißt,   Sie stehen nicht in einem Beschäftigungsverhältnis oder Sie üben nur eine Erwerbstätigkeit in einem Umfang von weniger als 15 Stunden wöchentlich aus und Sie stehen den Vermittlungsbemühungen der Agentur für Arbeit zur Verfügung. Sie sind also in der Lage und bereit, eine versicherungspflichtige Beschäftigung unter arbeitsmarktüblichen Bedingungen aufzunehmen;   Sie sich  elektronisch mit einem elektronischen Identitätsnachweis, zum Beispiel Personalausweis mit Online-Ausweisfunktion, im eServices-Portal der Bundesagentur für Arbeit oder persönlich bei der zuständigen Agentur für Arbeit arbeitslos gemeldet haben. Mit Ihrer persönlichen Arbeitslosmeldung gilt das Arbeitslosengeld als beantragt. Zusätzlich muss noch ein Antragsformular ausgefüllt werden;   Sie innerhalb der letzten 30 Monate vor der Arbeitslosmeldung (der sogenannten Rahmenfrist) mindestens 12 Monate versicherungspflichtig waren.  Es werden auch Zeiten berücksichtigt, in denen Sie wegen des Bezuges von Entgeltersatzleistungen, wie zum Beispiel Krankengeld, oder - unter weiteren Voraussetzungen - zum Beispiel wegen der Pflege eines Angehörigen oder der Erziehung eines Kindes versicherungspflichtig zur Arbeitsförderung waren.  Als Versicherungszeit können auch Zeiten berücksichtigt werden, in denen ein Antragspflichtversicherungsverhältnis (sogenannte freiwillige Weiterversicherung) vorlag, zum Beispiel  weil Sie eine selbständige Tätigkeit aufgenommen haben.  In Sonderfällen werden auch Zeiten berücksichtigt, in denen Sie Entwicklungsdienst nach dem Entwicklungshelfergesetz geleistet haben oder Sie auf der Grundlage eines Sekundierungsvertrages im Ausland tätig waren.",§§ 136 bis 164 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3 || § 323 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__323.html || § 327 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__327.html || § 337 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__337.html
Zuschüsse für die Ausbildung und Beschäftigung von Menschen mit Behinderungen bei der Agentur für Arbeit beantragen,"Wenn Sie Menschen mit Behinderungen sowie schwerbehinderte Menschen betrieblich aus- oder weiterbilden, können Sie einen Zuschuss zur Ausbildungsvergütung erhalten. Wenn Sie schwerbehinderte Menschen im Anschluss fest einstellen, können Sie einen Lohnzuschuss erhalten.",B100019.LB.102711789,000000000000,"Voraussetzung für den Zuschuss zur Ausbildungsvergütung ist,  dass eine Aus oder Weiterbildung ohne diese Förderung nicht zu erreichen ist, dass eine Eignung für den angestrebten Ausbildungs beziehungsweise Weiterbildungsberuf vorliegt, dass ein unterzeichneter Aus oder Weiterbildungsvertrag mit dem Betrieb vorliegt, dass Ausbildungsvergütung, Lohn oder Gehalt gezahlt wird, bei Menschen mit Behinderungen die Bundesagentur für Arbeit der zuständige Rehabilitationsträger ist.  Voraussetzung für den Eingliederungszuschuss ist,  dass ein Arbeitsvertrag im Anschluss an eine erfolgreich abgeschlossene betriebliche Aus oder Weiterbildung vorliegt und dass diese Aus- oder Weiterbildung mit einem Ausbildungszuschuss für schwerbehinderte Menschen gefördert wurde.",§ 73 Sozialgesetzbuch Drittes Buch (SGB III)<>https://www.gesetze-im-internet.de/sgb_3/__73.html || § 16 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16.html
